,DATA,REGIÃO,ESTADO,VALOR REVENDA,ANO,MES,MES/ANO
332,2004-08-01,NORDESTE,PARAIBA,2.075,2004,8,08/2004
333,2004-08-01,NORDESTE,PERNAMBUCO,2.07,2004,8,08/2004
334,2004-08-01,NORDESTE,PIAUI,2.2030000000000003,2004,8,08/2004
335,2004-08-01,NORDESTE,RIO GRANDE DO NORTE,2.097,2004,8,08/2004
336,2004-08-01,NORDESTE,SERGIPE,2.103,2004,8,08/2004
337,2004-08-01,NORTE,ACRE,2.54,2004,8,08/2004
338,2004-08-01,NORTE,AMAPA,2.376,2004,8,08/2004
339,2004-08-01,NORTE,AMAZONAS,2.199,2004,8,08/2004
340,2004-08-01,NORTE,PARA,2.418,2004,8,08/2004
341,2004-08-01,NORTE,RONDONIA,2.47,2004,8,08/2004
342,2004-08-01,NORTE,RORAIMA,2.083,2004,8,08/2004
343,2004-08-01,NORTE,TOCANTINS,2.233,2004,8,08/2004
344,2004-08-01,SUDESTE,ESPIRITO SANTO,2.129,2004,8,08/2004
345,2004-08-01,SUDESTE,MINAS GERAIS,2.111,2004,8,08/2004
346,2004-08-01,SUDESTE,RIO DE JANEIRO,2.162,2004,8,08/2004
347,2004-08-01,SUDESTE,SAO PAULO,2.03,2004,8,08/2004
348,2004-08-01,SUL,PARANA,2.117,2004,8,08/2004
349,2004-08-01,SUL,RIO GRANDE DO SUL,2.281,2004,8,08/2004
350,2004-08-01,SUL,SANTA CATARINA,2.188,2004,8,08/2004
351,2004-08-08,CENTRO OESTE,DISTRITO FEDERAL,2.117,2004,8,08/2004
352,2004-08-08,CENTRO OESTE,GOIAS,2.133,2004,8,08/2004
353,2004-08-08,CENTRO OESTE,MATO GROSSO,2.531,2004,8,08/2004
354,2004-08-08,CENTRO OESTE,MATO GROSSO DO SUL,2.315,2004,8,08/2004
355,2004-08-08,NORDESTE,ALAGOAS,2.215,2004,8,08/2004
356,2004-08-08,NORDESTE,BAHIA,2.221,2004,8,08/2004
357,2004-08-08,NORDESTE,CEARA,2.29,2004,8,08/2004
358,2004-08-08,NORDESTE,MARANHAO,2.182,2004,8,08/2004
